docid,entityid,type
0,Retrieval-Augmented Generation (Rag),Topic
0,Graphrag,Topic
0,Question Answering,Topic
0,Query-Based Summarization,Topic
0,Haoyu Han,Author
0,Harry Shomer,Author
0,Yu Wang,Author
0,Yongjia Lei,Author
0,Kai Guo,Author
0,Zhigang Hua,Author
0,Bo Long,Author
0,Hui Liu,Author
0,Jiliang Tang,Author
1,Graphrag,Topic
1,Graphrag-Fi,Topic
1,Graphrag-Filtering,Topic
1,Graphrag-Integration,Topic
1,Kai Guo,Author
1,Harry Shomer,Author
1,Shenglai Zeng,Author
1,Haoyu Han,Author
1,Yu Wang,Author
1,Jiliang Tang,Author
1,Large Language Models,Topic
1,Natural Language Processing,Topic
1,Knowledge Gaps,Topic
1,Hallucinations,Topic
1,Structured Knowledge,Topic
1,External Graphs,Topic
1,Knowledge Graph Qa Tasks,Topic
1,Reasoning Performance,Topic
1,Backbone Models,Topic
1,Graphrag Framework,Topic
2,Large Language Models (Llms),Topic
2,Retrieval-Augmented Generation (Rag),Topic
2,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic
2,Qinggang Zhang,Author
2,Shengyuan Chen,Author
2,Yuanchen Bei,Author
2,Zheng Yuan,Author
2,Huachi Zhou,Author
2,Zijin Hong,Author
2,Junnan Dong,Author
2,Hao Chen,Author
2,Yi Chang,Author
2,Xiao Huang,Author
2,Https://Github.Com/Deep-Polyu/Awesome-Graphrag,Topic
3,Document-Level Retrieval Augmented Knowledge Graph Construction,Paper
3,Hairong Zhang,Author
3,Jiaheng Si,Author
3,Guohang Yan,Author
3,Boyuan Qi,Author
3,Pinlong Cai,Author
3,Song Mao,Author
3,Ding Wang,Author
3,Botian Shi,Author
3,Mine Dataset,Topic
4,Gfm-Rag,Topic
4,Retrieval-Augmented Generation,Topic
4,Graphrag,Topic
4,Linhao Luo,Author
4,Zicheng Zhao,Author
4,Gholamreza Haffari,Author
4,Dinh Phung,Author
4,Chen Gong,Author
4,Shirui Pan,Author
5,Large Language Models,Topic
5,Retrieval-Augmented Generation,Topic
5,Graphrag,Topic
5,Knowledge Graphs,Topic
5,Graphraft,Topic
5,Alfred Clemedtson,Author
5,Borun Shi,Author
6,Retrieval-Augmented Generation,Topic
6,Query-Focused Summarization,Topic
6,Graphrag,Topic
6,Context-Aware Fine-Grained Graph Rag,Paper
6,Yubin Hong,Author
6,Chaofan Li,Author
6,Jingyi Zhang,Author
6,Yingxia Shao,Author
7,Retrieval-Augmented Generation,Topic
7,Large Language Models,Topic
7,Graphrag,Topic
7,Graph-Based Indexing,Topic
7,Graph-Guided Retrieval,Topic
7,Graph-Enhanced Generation,Topic
7,Boci Peng,Author
7,Yun Zhu,Author
7,Yongchao Liu,Author
7,Xiaohe Bo,Author
7,Haizhou Shi,Author
7,Chuntao Hong,Author
7,Yan Zhang,Author
7,Siliang Tang,Author
7,Graph Retrieval-Augmented Generation: A Survey,Paper
8,Retrieval-Augmented Generation (Rag),Topic
8,Graphrag,Topic
8,Haoyu Han,Author
8,Yu Wang,Author
8,Harry Shomer,Author
8,Kai Guo,Author
8,Jiayuan Ding,Author
8,Yongjia Lei,Author
8,Mahantesh Halappanavar,Author
8,Ryan A. Rossi,Author
8,Subhabrata Mukherjee,Author
8,Xianfeng Tang,Author
8,Qi He,Author
8,Zhigang Hua,Author
8,Bo Long,Author
8,Tong Zhao,Author
8,Neil Shah,Author
8,Amin Javari,Author
8,Yinglong Xia,Author
8,Jiliang Tang,Author
8,Https://Github.Com/Graph-Rag/Graphrag/,Topic
9,Graphrag,Topic
9,Lego-Graphrag,Topic
9,Yukun Cao,Author
9,Zengyi Gao,Author
9,Zhiyang Li,Author
9,Xike Xie,Author
9,Kevin Zhou,Author
9,Jianliang Xu,Author
9,Large Language Models,Topic
9,Reasoning Accuracy,Topic
9,Contextual Relevance,Topic
9,Databases,Topic
9,Natural Language Processing,Topic
9,Modular Workflow Analysis,Topic
9,Systematic Solution Frameworks,Topic
9,Empirical Studies,Topic
9,Reasoning Quality,Topic
9,Runtime Efficiency,Topic
9,Token Or Gpu Cost,Topic
9,Advanced Graphrag Systems,Topic
10,Knowledge Graphs,Topic
10,Graphrags,Topic
10,Retrieval-Augmented Generative Systems,Topic
10,Gpt-4,Author
10,Llama 2 (13B),Author
10,Bert,Author
10,Ahan Bhatt,Author
10,Nandan Vaghela,Author
10,Kush Dudhia,Author
10,Precision,Topic
10,Recall,Topic
10,F1-Score,Topic
10,Graph Edit Distance,Topic
10,Semantic Similarity,Topic
11,Graph Retrieval-Augmented Generation (Graphrag),Topic
11,Large Language Models (Llms),Topic
11,Knowledge Graphs (Kgs),Topic
11,Knowledge Graph-Based Iterative Retrieval-Augmented Generation (Kg-Irag),Paper
11,Ruiyi Yang,Author
11,Hao Xue,Author
11,Imran Razzak,Author
11,Hakim Hacid,Author
11,Flora D. Salim,Author
11,Weatherqa-Irish,Topic
11,Weatherqa-Sydney,Topic
11,Trafficqa-Tfnsw,Topic
12,Graphrag,Topic
12,Gragpoison,Topic
12,Jiacheng Liang,Author
12,Yuhui Wang,Author
12,Changjiang Li,Author
12,Rongyi Zhu,Author
12,Tanqiu Jiang,Author
12,Neil Gong,Author
12,Ting Wang,Author
13,Rag Framework,Topic
13,Networking,Topic
13,Large Language Models,Topic
13,Knowledge Graphs,Topic
13,Intent-Driven Networks,Topic
13,Spectrum Knowledge Maps,Topic
13,Yang Xiong,Author
13,Ruichen Zhang,Author
13,Yinqiu Liu,Author
13,Dusit Niyato,Author
13,Zehui Xiong,Author
13,Ying-Chang Liang,Author
13,Shiwen Mao,Author
14,Gtr: Graph-Table-Rag For Cross-Table Question Answering,Paper
14,Jiaru Zou,Author
14,Dongqi Fu,Author
14,Sirui Chen,Author
14,Xinrui He,Author
14,Zihao Li,Author
14,Yada Zhu,Author
14,Jiawei Han,Author
14,Jingrui He,Author
14,Mutlitableqa,Topic
15,Hypergraphrag,Topic
15,Standard Retrieval-Augmented Generation,Topic
15,Haoran Luo,Author
15,Haihong E,Author
15,Guanting Chen,Author
15,Yandan Zheng,Author
15,Xiaobao Wu,Author
15,Yikai Guo,Author
15,Qika Lin,Author
15,Yu Feng,Author
15,Zemin Kuang,Author
15,Meina Song,Author
15,Yifan Zhu,Author
15,Luu Anh Tuan,Author
15,Medicine,Topic
15,Agriculture,Topic
15,Computer Science,Topic
15,Law,Topic
16,Graphrag,Topic
16,Retrieval-Augmented Generation,Topic
16,Large Language Models,Topic
16,Question-Focused Summarization,Topic
16,Darren Edge,Author
16,Ha Trinh,Author
16,Newman Cheng,Author
16,Joshua Bradley,Author
16,Alex Chao,Author
16,Apurva Mody,Author
16,Steven Truitt,Author
16,Dasha Metropolitansky,Author
16,Robert Osazuwa Ness,Author
16,Jonathan Larson,Author
17,Fastrag,Topic
17,Large Language Models,Topic
17,Retrieval-Augmented Generation,Topic
17,Vectorrag,Topic
17,Graphrag,Topic
17,Amar Abane,Author
17,Anis Bekri,Author
17,Abdella Battou,Author
18,Noderag,Topic
18,Tianyang Xu,Author
18,Haojie Zheng,Author
18,Chengze Li,Author
18,Haoxiang Chen,Author
18,Yixin Liu,Author
18,Ruoxi Chen,Author
18,Lichao Sun,Author
18,Retrieval-Augmented Generation,Topic
18,Graphrag,Topic
18,Lightrag,Topic
18,Https://Github.Com/Terry-Xu-666/Noderag,Paper
19,Graphrag,Topic
19,Polyg,Paper
19,Large Language Models,Topic
19,External Knowledge Graphs,Topic
19,Sota Graphrag Methods,Topic
19,Four-Class Taxonomy,Topic
20,Structured-Graphrag,Topic
20,Zahra Sepasdar,Author
20,Sushant Gautam,Author
20,Cise Midoglu,Author
20,Michael A. Riegler,Author
20,Pål Halvorsen,Author
20,Soccer Data,Topic
21,Ket-Rag,Topic
21,Graph-Rag,Topic
21,Biomedicine,Topic
21,Law,Topic
21,Political Science,Topic
21,Yiqian Huang,Author
21,Shiqi Zhang,Author
21,Xiaokui Xiao,Author
22,Large Language Models,Topic
22,Graphrag,Topic
22,Goal-Oriented Graphs,Topic
22,Minecraft Testbed,Topic
22,Jonathan Leung,Author
22,Yongjie Wang,Author
22,Zhiqi Shen,Author
23,Hybridrag,Topic
23,Knowledge Graphs,Topic
23,Vectorrag,Topic
23,Q&A Systems,Topic
23,Bhaskarjit Sarmah,Author
23,Benika Hall,Author
23,Rohan Rao,Author
23,Sunil Patel,Author
23,Stefano Pasquali,Author
23,Dhagash Mehta,Author
23,Financial Applications,Topic
23,Earnings Call Transcripts,Topic
23,Retrieval Augmented Generation,Topic
23,Graphrag,Topic
23,Experiments,Topic
23,Retrieval Accuracy,Topic
23,Answer Generation,Topic
24,Evaluating The Performance Of Rag Methods For Conversational Ai In The Airport Domain,Paper
24,Yuyang Li,Author
24,Philip J. M. Kerbusch,Author
24,Raimon H. R. Pruim,Author
24,Tobias Käfer,Author
24,Conversational Ai,Topic
24,Retrieval-Augmented Generation,Topic
25,Huixiangdou2,Paper
25,Huanjun Kong,Author
25,Zhefan Wang,Author
25,Chenyang Wang,Author
25,Zhe Ma,Author
25,Nanqing Dong,Author
25,Graphrag,Topic
25,Dual-Level Retrieval,Topic
25,Logic-Based Retrieval,Topic
25,Fuzzy Matching,Topic
25,Structured Reasoning,Topic
25,Multi-Stage Verification,Topic
25,Adaptive Retrieval,Topic
26,Medgraphrag,Topic
26,Junde Wu,Author
26,Jiayuan Zhu,Author
26,Yunli Qi,Author
26,Jingkun Chen,Author
26,Min Xu,Author
26,Filippo Menolascina,Author
26,Vicente Grau,Author
26,Graphrag,Topic
27,Advanced Rag Models With Graph Structures: Optimizing Complex Knowledge Reasoning And Text Generation,Paper
27,Yuxin Dong,Author
27,Shuo Wang,Author
27,Hongye Zheng,Author
27,Jiajing Chen,Author
27,Zhenhong Zhang,Author
27,Chihang Wang,Author
27,Graph Neural Network,Topic
27,Retrieval-Augmented Generation Model,Topic
27,Natural Questions Dataset,Topic
27,Knowledge Consistency,Topic
27,Reasoning Ability,Topic
27,Complex Knowledge Reasoning Tasks,Topic
27,Graph Structure Data,Topic
27,Multi-Dimensional Reasoning,Topic
27,Complex Knowledge Background Information,Topic
27,Practical Application Scenarios,Topic
28,Large Language Models,Topic
28,Knowledge Graph-Based Retrieval-Augmented Generation,Topic
28,Walk&Retrieve,Paper
29,Split-Rag,Topic
29,Retrieval-Augmented Generation,Topic
29,Ruiyi Yang,Author
29,Hao Xue,Author
29,Imran Razzak,Author
29,Hakim Hacid,Author
29,Flora D. Salim,Author
30,Knowledge Graphs,Topic
30,Question Answering,Topic
30,Large Language Models,Topic
30,Graph Neural Networks,Topic
30,Gnn-Rag,Paper
30,Webqsp,Topic
30,Cwq,Topic
30,Gpt-4,Topic
31,Knowledge Graph-Augmented Large Language Models,Topic
31,Triple Context Restoration And Query-Driven Feedback,Topic
31,Manzong Huang,Author
31,Chenyang Bu,Author
31,Yi He,Author
31,Xindong Wu,Author
31,Graphrag,Topic
31,Five Benchmark Question-Answering Datasets,Topic
32,Align-Grag: Reasoning-Guided Dual Alignment For Graph Retrieval-Augmented Generation,Paper
33,Kaqg,Topic
33,Retrieval-Augmented Generation,Topic
33,Ching Han Chen,Author
33,Ming Fang Shiu,Author
33,Bloom'S Taxonomy,Topic
33,Item Response Theory,Topic
33,Github,Topic
33,Psychometrically Sound Questions,Topic
33,Multi-Step Reasoning,Topic
33,Difficulty Metrics,Topic
33,Knowledge Graphs,Topic
33,Educational Assessment Theory,Topic
33,Llm,Topic
33,Cross-Domain Transfer Experiments,Topic
33,Reproducible Design,Topic
33,Ablation Studies,Topic
34,Cdf-Rag,Topic
34,Elahe Khatibi,Author
34,Ziyu Wang,Author
34,Amir M. Rahmani,Author
34,Retrieval-Augmented Generation,Topic
35,Do-Rag,Topic
35,David Osei Opoku,Author
35,Ming Sheng,Author
35,Yong Zhang,Author
35,Retrieval-Augmented Generation,Topic
35,Knowledge Graph,Topic
35,Semantic Vector Retrieval,Topic
35,Dynamic Knowledge Graphs,Topic
35,Hallucination Mitigation,Topic
35,Database Domain,Topic
35,Electrical Domain,Topic
36,Causal Graphs Meet Thoughts: Enhancing Complex Reasoning In Graph-Augmented Llms,Paper
36,Hang Luo,Author
36,Jian Zhang,Author
36,Chujun Li,Author
36,Knowledge Graphs,Topic
36,Graph Retrieval-Augmented Generation,Topic
36,Large Language Models,Topic
36,Causal Reasoning,Topic
36,Explainability,Topic
36,Medical Question-Answering Tasks,Topic
37,Rag-Kg-Il,Paper
38,Synergizing Rag And Reasoning: A Systematic Review,Paper
38,Yunfan Gao,Author
38,Yun Xiong,Author
38,Yijie Zhong,Author
38,Yuxi Bi,Author
38,Ming Xue,Author
38,Haofen Wang,Author
38,Retrieval-Augmented Generation,Topic
38,Reasoning,Topic
38,Multi-Step Reasoning,Topic
38,Graph-Based Knowledge Integration,Topic
38,Hybrid Model Collaboration,Topic
38,Rl-Driven Optimization,Topic
39,Automating Construction Contract Review Using Knowledge Graph-Enhanced Large Language Models,Paper
40,Reward-Guided Tree Search On Graph (Rtsog),Topic
40,Knowledge Graph Question Answering (Kgqa),Topic
40,Large Language Models (Llms),Topic
40,Grailqa,Topic
40,Webqsp,Topic
40,Xiao Long,Author
40,Liansheng Zhuang,Author
40,Chen Shen,Author
40,Shaotian Yan,Author
40,Yifei Li,Author
40,Shafei Wang,Author
41,Drug Discovery,Topic
41,Target Identification,Topic
41,Large Language Models,Topic
41,Retrieval-Augmented Generation,Topic
41,Protein-Protein Interactions,Topic
41,Grappi,Paper
42,Naive Retrieval-Augmented Generation,Topic
42,Graph Retrieval-Augmented Generation,Topic
42,Yuntong Hu,Author
42,Zhihan Lei,Author
42,Zheng Zhang,Author
42,Bo Pan,Author
42,Chen Ling,Author
42,Liang Zhao,Author
43,Trumorgpt,Topic
43,Ching Nam Hang,Author
43,Pei-Duo Yu,Author
43,Chee Wei Tan,Author
43,Infodemics,Topic
44,Graph-Based Approaches And Functionalities In Retrieval-Augmented Generation: A Comprehensive Survey,Paper
44,Retrieval-Augmented Generation,Topic
44,Large Language Models,Topic
44,Hallucination Problem,Topic
44,Structured Knowledge,Topic
44,Graph Learning,Topic
44,Database Systems,Topic
44,Natural Language Processing,Topic
45,Retrieval-Augmented Generation,Topic
45,Trace,Topic
45,Multi-Hop Reasoning,Topic
45,Jinyuan Fang,Author
45,Zaiqiao Meng,Author
45,Craig Macdonald,Author
45,Knowledge Graph,Topic
45,Autoregressive Reasoning Chain Constructor,Topic
45,Kg Generator,Topic
45,Multi-Hop Qa Datasets,Topic
45,14.03% Performance Improvement,Topic
46,Hm-Rag,Topic
46,Pei Liu,Author
46,Xin Liu,Author
46,Ruoyu Yao,Author
46,Junming Liu,Author
46,Siyuan Meng,Author
46,Ding Wang,Author
46,Jun Ma,Author
46,Scienceqa,Topic
46,Crisismmd,Topic
46,Https://Github.Com/Ocean-Luna/Hmrag,Paper
47,Large Language Models,Topic
47,Knowledge Graph-Based Retrieval-Augmented Generation,Topic
47,Subgraphrag,Topic
47,Llama3.1-8B-Instruct,Topic
47,Gpt-4O,Topic
47,Mufei Li,Author
47,Siqi Miao,Author
47,Pan Li,Author
47,Webqsp,Topic
47,Cwq,Topic
48,Large Language Models,Topic
48,Natural Language Processing,Topic
48,Retrieval-Augmented Generation,Topic
48,Causalrag,Topic
48,Nengbo Wang,Author
48,Xiaotian Han,Author
48,Jagdip Singh,Author
48,Jing Ma,Author
48,Vipin Chaudhary,Author
49,Large Language Models,Topic
49,Retrieval-Augmented Generation,Topic
49,Coggrag,Topic
49,Knowledge Graph Question Answering,Topic
49,Yao Cheng,Author
49,Yibo Zhao,Author
49,Jiapeng Zhu,Author
49,Yao Liu,Author
49,Xing Sun,Author
49,Xiang Li,Author
50,Large Language Models,Topic
50,Adaptive Medical Graph-Rag,Topic
50,Medqa,Topic
50,Medmcqa,Topic
50,Mohammad Reza Rezaei,Author
50,Reza Saadati Fard,Author
50,Jayson Parker,Author
50,Rahul G. Krishnan,Author
50,Milad Lankarany,Author
51,Large Language Models,Topic
51,Retrieval-Augmented Generation,Topic
51,Hybrid Parameter-Adaptive Rag,Paper
51,Nyc Local Law 144,Topic
52,Knowledge Graph-Extended Retrieval Augmented Generation (Kg-Rag),Topic
52,Large Language Models (Llms),Topic
52,Knowledge Graphs (Kgs),Topic
52,Question Answering (Qa),Topic
52,Jasper Linders,Author
52,Jakub M. Tomczak,Author
52,Metaqa Benchmark,Topic
53,Retrieval-Augmented Generation (Rag),Topic
53,Large Language Models (Llms),Topic
53,Think-On-Graph 2.0 (Tog-2),Topic
53,Knowledge Graphs (Kgs),Topic
53,Shengjie Ma,Author
53,Chengjin Xu,Author
53,Xuhui Jiang,Author
53,Muzhi Li,Author
53,Huaren Qu,Author
53,Cehao Yang,Author
53,Jiaxin Mao,Author
53,Jian Guo,Author
53,Gpt-3.5,Topic
53,Llama-2-13B,Topic
53,Https://Github.Com/Idea-Finai/Tog-2,Topic
54,Mixture-Of-Pageranks,Topic
54,Nicholas Alonso,Author
54,Beren Millidge,Author
54,Rag,Topic
54,Long-Context Llms,Topic
54,Pagerank,Topic
54,Sparse Matrices,Topic
54,Benchmark Tasks,Topic
55,G-Retriever,Topic
55,Xiaoxin He,Author
55,Yijun Tian,Author
55,Yifei Sun,Author
55,Nitesh V. Chawla,Author
55,Thomas Laurent,Author
55,Yann Lecun,Author
55,Xavier Bresson,Author
55,Bryan Hooi,Author
56,Kg-Rag,Topic
56,Diego Sanmartin,Author
56,Knowledge Graph-Retrieval Augmented Generation,Topic
56,Chain Of Explorations,Topic
56,Complexwebquestions,Topic
57,Large Language Models,Topic
57,Retrieval-Augmented Generation,Topic
57,Small Language Models,Topic
57,Edge-Assisted And Collaborative Rag,Paper
58,Traditional Chinese Medicine,Topic
58,Opentcm,Paper
59,Frag,Topic
59,Knowledge Graph,Topic
59,Retrieval-Augmented Generation,Topic
59,Zengyi Gao,Author
59,Yukun Cao,Author
59,Hairu Wang,Author
59,Ao Ke,Author
59,Yuan Feng,Author
59,Xike Xie,Author
59,S Kevin Zhou,Author
60,Retrieval Augmented Generation (Rag),Topic
60,Large Language Models (Llms),Topic
60,Hipporag,Topic
60,Proprag,Topic
60,Popqa,Topic
60,2Wiki,Topic
60,Hotpotqa,Topic
60,Musique,Topic
60,Jingjin Wang,Author
61,Hoprag,Topic
61,Hao Liu,Author
61,Zhengren Wang,Author
61,Xi Chen,Author
61,Zhiyu Li,Author
61,Feiyu Xiong,Author
61,Qinhan Yu,Author
61,Wentao Zhang,Author
62,Retrieval-And-Structuring (Ras),Topic
62,Large Language Models (Llms),Topic
62,Pengcheng Jiang,Author
62,Lang Cao,Author
62,Ruike Zhu,Author
62,Minhao Jiang,Author
62,Yunyi Zhang,Author
62,Jimeng Sun,Author
62,Jiawei Han,Author
62,Https://Github.Com/Pat-Jj/Ras,Paper
63,Large Language Models,Topic
63,Artificial General Intelligence,Topic
63,Weknow-Rag,Paper
64,Cot-Rag,Topic
64,Chain-Of-Thought Reasoning,Topic
64,Feiyang Li,Author
64,Peng Fang,Author
64,Zhan Shi,Author
64,Arijit Khan,Author
64,Fang Wang,Author
64,Dan Feng,Author
64,Weihao Wang,Author
64,Xin Zhang,Author
64,Yongjian Cui,Author
64,Knowledge Graph-Driven Cot Generation,Topic
64,Learnable Knowledge Case-Aware Rag,Topic
64,Pseudo-Program Prompting Execution,Topic
64,Llms,Topic
64,Natural Language Reasoning,Topic
64,Inference Logic Of Llms,Topic
64,Public Datasets,Topic
64,Domain-Specific Datasets,Topic
64,State-Of-The-Art Methods,Topic
65,Retrieval-Augmented Generation (Rag),Topic
65,Eraser4Rag,Topic
65,Yujing Wang,Author
65,Hainan Zhang,Author
65,Liang Pang,Author
65,Yongxin Tong,Author
65,Binghui Guo,Author
65,Hongwei Zheng,Author
65,Zhiming Zheng,Author
65,Privacy Erasure Task,Topic
65,Flan-T5,Topic
65,Ppo Algorithm,Topic
65,Qa Datasets,Topic
65,Gpt-4O,Topic
66,Graph-Based Retrieval-Augmented Generation (Rag),Topic
66,Subgcache,Topic
66,Qiuyu Zhu,Author
66,Liang Zhang,Author
66,Qianxiong Xu,Author
66,Cheng Long,Author
66,Jie Zhang,Author
67,Plan*Rag,Topic
67,Prakhar Verma,Author
67,Sukruta Prakash Midigeshi,Author
67,Gaurav Sinha,Author
67,Arno Solin,Author
67,Nagarajan Natarajan,Author
67,Amit Sharma,Author
68,Knowledge Graph-Guided Retrieval Augmented Generation,Paper
69,A Study On The Implementation Method Of An Agent-Based Advanced Rag System Using Graph,Paper
69,Knowledge-Based Question-Answering (Qa) Systems,Topic
69,Retrieval-Augmented Generation (Rag) Models,Topic
69,Graph Technology,Topic
69,Langgraph,Topic
69,Advanced Rag Systems,Topic
69,Corporate Services,Topic
70,Know3-Rag,Topic
70,Large Language Models,Topic
70,Natural Language Generation,Topic
70,Retrieval-Augmented Generation,Topic
70,Knowledge Graphs,Topic
70,Xukai Liu,Author
70,Ye Liu,Author
70,Shiwen Wu,Author
70,Yanghai Zhang,Author
70,Yihao Yuan,Author
70,Kai Zhang,Author
70,Qi Liu,Author
71,Medrag,Paper
71,Xuejiao Zhao,Author
71,Siyan Liu,Author
71,Su-Yin Yang,Author
71,Chunyan Miao,Author
71,Healthcare Copilot,Topic
71,Electronic Health Records,Topic
71,Knowledge Graph,Topic
71,Diagnostic Accuracy,Topic
71,Ddxplus,Topic
71,Cpdd,Topic
71,Tan Tock Seng Hospital,Topic
72,Rulerag,Topic
72,Ruleqa,Topic
72,Zhongwu Chen,Author
72,Chengjin Xu,Author
72,Dingmin Wang,Author
72,Zhen Huang,Author
72,Yong Dou,Author
72,Xuhui Jiang,Author
72,Jian Guo,Author
73,Atomr,Topic
73,Blendqa,Topic
73,Amy Xin,Author
73,Jinxin Liu,Author
73,Zijun Yao,Author
73,Zhicheng Lee,Author
73,Shulin Cao,Author
73,Lei Hou,Author
73,Juanzi Li,Author
74,Ifc Data,Topic
74,Graph Retrieval-Augmented Generation,Topic
74,Sima Iranmanesh,Author
74,Hadeel Saadany,Author
74,Edlira Vakaj,Author
74,Gpt-4O,Topic
74,Building Object Properties,Topic
74,Construction Industry,Topic
75,Knowledge Management For Automobile Failure Analysis Using Graph Rag,Paper
76,Pseudo-Knowledge Graph,Topic
76,Large Language Models,Topic
76,Retrieval-Augmented Generation,Topic
76,Yuxin Yang,Author
76,Haoyang Wu,Author
76,Tao Wang,Author
76,Jia Yang,Author
76,Hao Ma,Author
76,Guojie Luo,Author
77,Optimizing Open-Domain Question Answering With Graph-Based Retrieval Augmented Generation,Paper
78,Large Language Models,Topic
78,Neuro-Symbolic Approach,Topic
78,Knowledge Graph-Based Rag,Topic
78,Symbolic Validator,Topic
78,Cristina Cornelio,Author
78,Flavio Petruzzellis,Author
78,Pietro Lio,Author
78,Hierarchical Planning For Complex Tasks With Knowledge Graph-Rag And Symbolic Verification,Paper
79,A Pilot Empirical Study On When And How To Use Knowledge Graphs As Retrieval Augmented Generation,Paper
79,Xujie Yuan,Author
79,Yongxu Liu,Author
79,Shimin Di,Author
79,Shiwen Wu,Author
79,Libin Zheng,Author
79,Rui Meng,Author
79,Lei Chen,Author
79,Xiaofang Zhou,Author
79,Jian Yin,Author
80,Failure Mode And Effects Analysis (Fmea),Topic
80,Large Language Models (Llms),Topic
80,Retrieval-Augmented Generation (Rag),Topic
80,Knowledge Graph (Kg),Topic
80,Lukas Bahr,Author
80,Christoph Wehner,Author
80,Judith Wewerka,Author
80,José Bittencourt,Author
80,Ute Schmid,Author
80,Rüdiger Daub,Author
80,Fmea-Kg,Topic
80,Fmea Data,Topic
80,Kg-Enhanced Rag Framework,Topic
81,Retrieval-Augmented Generation,Topic
81,Attributed Community-Based Hierarchical Rag,Paper
82,Large Language Models,Topic
82,Education,Topic
82,Finance,Topic
82,Medicine,Topic
82,Hyper-Rag,Paper
82,Neurologycrop Dataset,Topic
82,Graph Rag,Topic
82,Light Rag,Topic
82,Hyper-Rag-Lite,Topic
82,High-Stakes Applications,Topic
82,Medical Diagnostics,Topic
83,Graph Rag-Tool Fusion,Topic
83,Toollinkos,Topic
83,Elias Lumer,Author
83,Pradeep Honaganahalli Basavaraju,Author
83,Myles Mason,Author
83,James A. Burke,Author
83,Vamse Kumar Subbiah,Author
83,Toolsandbox,Topic
83,Tool Knowledge Graph,Topic
83,Vector Database,Topic
83,Get Stock Price Api,Topic
