docid,entityid,type
83,Stock Ticker Api,Topic
83,Os-Level Internet Connectivity Tools,Topic
83,573 Fictional Tools,Topic
83,15 Industries,Topic
83,6.3 Tool Dependencies,Topic
83,Naive Rag,Topic
83,Map@10,Topic
83,Https://Github.Com/Eliaslumer/Graph-Rag-Tool-Fusion-Toollinkos,Topic
84,Graph Retrieval Augmented Generation (Grag),Topic
84,Fast Think-On-Graph (Fasttog),Topic
84,Xujian Liang,Author
84,Zhaoquan Gu,Author
84,Knowledge Graph (Kgs),Topic
84,Large-Scale Language Models (Llms),Topic
84,Community Detection,Topic
84,Community Pruning,Topic
84,Community-To-Text Methods,Topic
84,Experimental Results,Topic
84,Higher Accuracy,Topic
84,Faster Reasoning,Topic
84,Better Explainability,Topic
85,Retrieval From Graph Data,Topic
85,Large Language Models,Topic
85,Graphrag System,Topic
85,Knowledge Graphs,Topic
85,Knowledge Base Question Answering,Topic
85,Langchain,Topic
85,Llamaindex,Topic
85,Wikidata,Topic
85,Freebase,Topic
85,Property Graph Views,Topic
85,Cypher,Topic
85,Cypherbench,Topic
85,Yanlin Feng,Author
85,Simone Papicchio,Author
85,Sajjadur Rahman,Author
86,Kg-Retriever,Topic
86,Weijie Chen,Author
86,Ting Bai,Author
86,Jinbo Su,Author
86,Jian Luan,Author
86,Wei Liu,Author
86,Chuan Shi,Author
86,Knowledge Graph-Based Rag Framework,Topic
86,Hierarchical Knowledge Retriever,Topic
86,Retrieval Efficiency,Topic
86,Information Fragmentation Problem,Topic
86,Cross-Document Retrieval,Topic
86,Public Qa Datasets,Topic
87,Communitykg-Rag,Topic
87,Rong-Ching Chang,Author
87,Jiawei Zhang,Author
88,Retrieval-Augmented Generation,Topic
88,Large Language Models,Topic
88,Knowledge Graphs,Topic
88,Text Documents,Topic
88,Multi-Hop Reasoning,Topic
88,Multi-Entity Questions,Topic
88,Multi-Source Verification,Topic
88,Effective Graph Utilization,Topic
88,Hydra,Topic
88,Agent-Driven Exploration,Topic
88,Tri-Factor Cross-Source Verification,Topic
88,Source Trustworthiness Assessment,Topic
88,Cross-Source Corroboration,Topic
88,Entity-Path Alignment,Topic
88,Gpt-3.5,Topic
88,Tog-2,Topic
88,Llama-3.1-8B,Topic
88,Gpt-4-Turbo,Topic
88,Xingyu Tan,Author
88,Xiaoyang Wang,Author
88,Qing Liu,Author
88,Xiwei Xu,Author
88,Xin Yuan,Author
88,Liming Zhu,Author
88,Wenjie Zhang,Author
89,Knowledge Graphs,Topic
89,Retrieval-Augmented Generation,Topic
89,Synthkg,Paper
90,Large Language Models,Topic
90,Clinical Decision Support,Topic
90,Kare,Paper
90,Mimic-Iii,Topic
90,Mimic-Iv,Topic
90,Knowledge Graph,Topic
90,Retrieval-Augmented Generation,Topic
90,Prediction Accuracy,Topic
90,Healthcare Predictions,Topic
90,Reasoning Capabilities Of Llms,Topic
91,Large Language Models,Topic
91,Pennylane,Topic
91,Pennylane Dataset,Topic
91,Abdul Basit,Author
91,Nouhaila Innan,Author
91,Haider Asif,Author
91,Minghao Shao,Author
91,Muhammad Kashif,Author
91,Alberto Marchisio,Author
91,Muhammad Shafique,Author
91,Gpt-4O Mini,Topic
91,Graphrag,Topic
91,Retrieval-Augmented Generation,Topic
91,Quantum Software Development,Topic
91,Quantum Programming Tasks,Topic
92,Graph Rag,Topic
92,Legal Norms,Topic
92,Hudson De Martim,Author
92,Artificial Intelligence Applied To Law,Topic
92,Legal Research,Topic
92,Legislative Analysis,Topic
92,Decision Support,Topic
93,Mmrag,Topic
93,Retrieval-Augmented Generation,Topic
93,Chuan Xu,Author
93,Qiaosheng Chen,Author
93,Yutong Feng,Author
93,Gong Cheng,Author
93,"Text, Tables, And Knowledge Graphs",Topic
93,Multi-Modal Rag Systems,Topic
93,Question-Answering Datasets,Topic
93,Document Relevance,Topic
93,Dataset Relevance,Topic
93,Rag Implementations,Topic
93,Mmrag Benchmark,Topic
94,Retrieval-Augmented Generation (Rag),Topic
94,Tobugraph,Topic
94,Tobu,Topic
94,Savini Kashmira,Author
94,Jayanaka L. Dantanarayana,Author
94,Joshua Brodsky,Author
94,Ashish Mahendra,Author
94,Yiping Kang,Author
94,Krisztian Flautner,Author
94,Lingjia Tang,Author
94,Jason Mars,Author
95,Retrieval-Augmented Generation,Topic
95,Large Language Models,Topic
95,External Databases,Topic
95,Graph-Based Rag,Topic
95,Pathrag,Topic
95,Boyu Chen,Author
95,Zirui Guo,Author
95,Zidan Yang,Author
95,Yuluo Chen,Author
95,Junze Chen,Author
95,Zhenghao Liu,Author
95,Chuan Shi,Author
95,Cheng Yang,Author
95,Https://Github.Com/Bupt-Gamma/Pathrag,Paper
96,Biomedical Question Answering Via Multi-Level Summarization On A Local Knowledge Graph,Paper
96,Lingxiao Guan,Author
96,Yuanhao Huang,Author
96,Jie Liu,Author
96,Retrieval Augmented Generation,Topic
96,Multi-Document Relationships,Topic
96,Local Knowledge Graph,Topic
96,Layerwise Summarization,Topic
96,Small Language Model,Topic
96,Biomedical Qa Benchmarks,Topic
96,Methodology,Topic
97,Agentic Reasoning,Topic
97,Large Language Model (Llm),Topic
97,Mind Map Agent,Topic
97,Junde Wu,Author
97,Jiayuan Zhu,Author
97,Yuyuan Liu,Author
97,Https://Github.Com/Theworldofagents/Agentic-Reasoning,Paper
98,Automated Optimization Modeling,Topic
98,Large Language Models,Topic
98,Prompt Engineering,Topic
98,Sensor Array Signal Processing,Topic
98,Retrieval-Augmented Generation,Topic
98,Multi-Agent Structure,Topic
98,Graph-Based Rag Process,Topic
98,Mag-Rag,Paper
99,Retrieval-Augmented Generation (Rag),Topic
99,Hybrid Rag System,Paper
99,Ye Yuan,Author
99,Chengwu Liu,Author
99,Jingyang Yuan,Author
99,Gongbo Sun,Author
99,Siqi Li,Author
99,Ming Zhang,Author
99,Crag Dataset,Topic
99,Meta Crag Kdd Cup 2024 Competition,Topic
100,Massive Open Online Courses (Moocs),Topic
100,Large Language Models (Llms),Topic
100,Retrieval-Augmented Generation (Rag),Topic
100,Graph Rag Pipeline,Topic
100,Educational Knowledge Graphs (Edukgs),Topic
100,Personal Knowledge Graphs (Pkgs),Topic
100,Coursemapper,Topic
100,Question Generation Method,Topic
100,Question Answering Method,Topic
100,Mohamed Abdelmagied,Author
100,Mohamed Amine Chatti,Author
100,Shoeb Joarder,Author
100,Qurat Ul Ain,Author
100,Rawaa Alatrash,Author
101,Simgrag,Topic
102,In-Depth Analysis Of Graph-Based Rag In A Unified Framework,Paper
102,Yingli Zhou,Author
102,Yaodong Su,Author
102,Youran Sun,Author
102,Shu Wang,Author
102,Taotao Wang,Author
102,Runyuan He,Author
102,Yongwei Zhang,Author
102,Sicong Liang,Author
102,Xilin Liu,Author
102,Yuchi Ma,Author
102,Yixiang Fang,Author
103,Retrieval Augmented Generation,Topic
103,Large Language Model,Topic
103,G-Rag,Topic
103,Graph Neural Networks,Topic
103,Abstract Meaning Representation Graphs,Topic
103,Palm 2,Topic
103,Jialin Dong,Author
103,Bahare Fatemi,Author
103,Bryan Perozzi,Author
103,Lin F. Yang,Author
103,Anton Tsitsulin,Author
104,Biomedical Ontologies,Topic
104,Biomedical Code Mapping,Topic
104,Ontologyrag,Paper
104,Hui Feng,Author
104,Yuntzu Yin,Author
104,Emiliano Reynares,Author
104,Jay Nanavati,Author
105,Material Science,Topic
105,Graph Rag,Paper
106,Retrieval-Augmented Generation (Rag),Topic
106,Pseudo-Graph Retrieval-Augmented Generation (Pg-Rag),Topic
106,Kgp-Llama,Topic
106,Xun Liang,Author
106,Simin Niu,Author
106,Zhiyu Li,Author
106,Sensen Zhang,Author
106,Shichao Song,Author
106,Hanyu Wang,Author
106,Jiawei Yang,Author
106,Feiyu Xiong,Author
106,Bo Tang,Author
106,Chenyang Xi,Author
106,Https://Github.Com/Iaar-Shanghai/Pgrag,Paper
107,Slide,Topic
107,Divyansh Singh,Author
107,Manuel Nunez Martinez,Author
107,Bonnie J. Dorr,Author
107,Sonja Schmer Galunder,Author
107,Graphrag,Topic
107,English,Topic
107,Afrikaans,Topic
107,Long Documents,Topic
107,Low-Resource Languages,Topic
107,Contextual Retrieval Methods,Topic
107,Entity Extraction,Topic
107,Relationship Extraction,Topic
107,Question-Answering Metrics,Topic
107,Data Scarcity,Topic
108,Dgrag,Topic
108,Retrieval-Augmented Generation,Topic
108,Wenqing Zhou,Author
108,Yuxuan Yan,Author
108,Qianqian Yang,Author
109,Graphinsight,Topic
109,Large Language Models,Topic
109,Yukun Cao,Author
109,Shuo Han,Author
109,Zengyi Gao,Author
109,Zezhong Ding,Author
109,Xike Xie,Author
109,S. Kevin Zhou,Author
110,Incorporating Legal Structure In Retrieval-Augmented Generation: A Case Study On Copyright Fair Use,Paper
110,Justin Ho,Author
110,Alexandra Colby,Author
110,William Fisher,Author
110,Retrieval-Augmented Generation,Topic
110,Fair Use Doctrine,Topic
110,U.S. Copyright Law,Topic
110,Dmca Takedowns,Topic
110,Legal Knowledge Graphs,Topic
110,Court Citation Networks,Topic
110,Chain-Of-Thought Reasoning,Topic
110,Llm-Based Legal Assistance Tools,Topic
111,Knowledge Graph Based Retrieval-Augmented Generation (Kg-Rag),Topic
111,Large Language Model (Llm),Topic
111,Question Answering (Qa),Topic
111,Dongzhuoran Zhou,Author
111,Yuqicheng Zhu,Author
111,Yuan He,Author
111,Jiaoyan Chen,Author
111,Evgeny Kharlamov,Author
111,Steffen Staab,Author
112,Knowledge Augmented Generation,Topic
112,Retrieval-Augmented Generation,Topic
112,Ant Group,Topic
112,E-Government Q&A,Topic
112,E-Health Q&A,Topic
112,Lei Liang,Author
112,Mengshu Sun,Author
112,Zhengke Gui,Author
112,Zhongshu Zhu,Author
112,Zhouyu Jiang,Author
112,Ling Zhong,Author
112,Yuan Qu,Author
112,Peilong Zhao,Author
112,Zhongpu Bo,Author
112,Jin Yang,Author
112,Huaidong Xiong,Author
112,Lin Yuan,Author
112,Jun Xu,Author
112,Zaoyang Wang,Author
112,Zhiqiang Zhang,Author
112,Wen Zhang,Author
112,Huajun Chen,Author
112,Wenguang Chen,Author
112,Jun Zhou,Author
113,Large Language Models,Topic
113,Retrieval-Augmented Generation (Rag) Framework,Topic
113,Knowledge Graphs,Topic
113,Multi-Objective Multi-Armed Bandit Enhanced Rag Framework,Topic
113,Xiaqiang Tang,Author
113,Jian Li,Author
113,Nan Du,Author
113,Sihong Xie,Author
113,Https://Github.Com/Futureeeeee/Dynamic-Rag.Git,Paper
114,Large Language Models,Topic
114,Graph Neural Networks,Topic
114,Retrieval-Augmented Generation,Topic
114,Jintang Li,Author
114,Ruofan Wu,Author
114,Yuchang Zhu,Author
114,Huizhe Zhang,Author
114,Liang Chen,Author
114,Zibin Zheng,Author
114,Are Large Language Models In-Context Graph Learners?,Paper
115,Causal Analysis Of Tweets Dataset,Topic
115,Knowledge Graphs,Topic
115,Large Language Models,Topic
115,Gpt-3.5 Turbo,Topic
115,Retrieval-Augmented Generation,Topic
115,Neo4J,Topic
115,Rahul Ravi,Author
115,Gouri Ginde,Author
115,Jon Rokne,Author
116,Learning To Retrieve And Reason On Knowledge Graph Through Active Self-Reflection,Paper
116,Han Zhang,Author
116,Langshi Zhou,Author
116,Hanfang Yang,Author
116,Active Self-Reflection Framework For Knowledge Graph Reasoning Arg,Topic
117,Large Language Models,Topic
117,Knowledge-Intensive Tasks,Topic
117,Industrial Automation,Topic
117,Healthcare,Topic
117,Limitations,Topic
117,Hallucinate,Topic
117,Source Traceability,Topic
117,Timely Knowledge Updates,Topic
117,Knowledge Graphs,Topic
117,Graphrag,Topic
117,Tripartite-Graphrag,Topic
117,Concept-Specific Relevance Estimation,Topic
117,Llm Prompt Creation,Topic
117,Markov Random Fields,Topic
117,Michael Banf,Author
117,Johannes Kuhn,Author
118,Hykge,Topic
118,Large Language Models,Topic
118,Knowledge Graphs,Topic
118,Xinke Jiang,Author
118,Ruizhe Zhang,Author
118,Yongxin Xu,Author
118,Rihong Qiu,Author
118,Yue Fang,Author
118,Zhiyuan Wang,Author
118,Jinyi Tang,Author
118,Hongxin Ding,Author
118,Xu Chu,Author
118,Junfeng Zhao,Author
118,Yasha Wang,Author
119,Graph-Based Retrieval-Augmented Generation (Rag) Methods,Topic
119,Hirag,Topic
119,Haoyu Huang,Author
119,Yongfeng Huang,Author
119,Junjie Yang,Author
119,Zhenyu Pan,Author
119,Yongqiang Chen,Author
119,Kaili Ma,Author
119,Hongzhi Chen,Author
119,James Cheng,Author
120,Gem-Rag,Topic
120,Brendan Hogan Rappazzo,Author
120,Yingheng Wang,Author
120,Aaron Ferber,Author
120,Carla Gomes,Author
121,Large Language Models,Topic
121,Generative Artificial Intelligence,Topic
121,Query Generation For Graph Databases,Topic
121,Knowledge Graphs,Topic
121,Structured Query Language,Topic
121,Cypher,Topic
121,Openai Chatgpt 4O,Author
121,Claude Sonnet 3.5,Author
121,Google Gemini Pro 1.5,Author
121,Llama 3.1 8B,Author
121,Siraj Munir,Author
121,Alessandro Aldini,Author
121,Paper,Paper
122,Multihop-Rag,Topic
122,Yixuan Tang,Author
122,Yi Yang,Author
122,Retrieval-Augmented Generation,Topic
122,Large Language Models,Topic
122,Multi-Hop Queries,Topic
122,Embedding Models,Topic
122,Gpt-4,Topic
122,Palm,Topic
122,Llama2-70B,Topic
122,Knowledge Base,Topic
122,Evidence,Topic
122,Dataset,Topic
122,Experiments,Topic
123,Knowledge Graphs,Topic
123,Sparqllm,Paper
123,Industry 5.0,Topic
123,Marco Arazzi,Author
123,Davide Ligari,Author
123,Serena Nicolazzo,Author
123,Antonino Nocera,Author
124,Knowledge Graph Reasoning,Topic
124,Jing Zhang,Author
124,Bo Chen,Author
124,Lingxi Zhang,Author
124,Xirui Ke,Author
124,Haipeng Ding,Author
125,Large Language Models,Topic
125,Retrieval-Augmented Generation,Topic
125,Knowledge Graphs,Topic
125,Mindful-Rag,Topic
125,Garima Agrawal,Author
125,Tharindu Kumarage,Author
125,Zeyad Alghamdi,Author
125,Huan Liu,Author
126,Cyber Knowledge Completion Using Large Language Models,Paper
126,Braden K Webb,Author
126,Sumit Purohit,Author
126,Rounak Meyur,Author
126,Internet Of Things,Topic
126,Cyber-Physical Systems,Topic
126,Large Language Models,Topic
126,Retrieval-Augmented Generation,Topic
126,Cyber-Attack Knowledge Graph Completion,Topic
127,Large Language Models (Llms),Topic
127,Biomedical Research,Topic
127,Retrieval Augmented Generation (Rag),Topic
127,Knowledge Graph,Topic
127,Julien Delile,Author
127,Srayanta Mukherjee,Author
127,Anton Van Pamel,Author
127,Leonid Zhukov,Author
127,Information Overload Problem,Topic
127,Hybrid Model,Topic
127,Biomedical Question-Answering Models,Topic
128,Coderag,Topic
128,Automated Code Generation,Topic
128,Jia Li,Author
128,Xianjie Shi,Author
128,Kechi Zhang,Author
128,Lei Li,Author
128,Ge Li,Author
128,Zhengwei Tao,Author
128,Fang Liu,Author
128,Chongyang Tao,Author
128,Zhi Jin,Author
128,Gpt-4O,Topic
128,Gemini-Pro,Topic
128,Deveval,Topic
128,Copilit,Topic
128,Cursor,Topic
128,Qwq-32B,Topic
128,Real-World Code Generation,Topic
128,Requirement Graph,Topic
128,Ds-Code Graph,Topic
128,Supportive Codes,Topic
128,Cross-File Code Snippets,Topic
129,Large Language Models,Topic
129,Code-Llms,Topic
129,Retrieval-Augmented Generation,Topic
129,Programming Knowledge Graph,Topic
129,Iman Saberi,Author
129,Fatemeh Fard,Author
129,Humaneval,Topic
129,Mbpp,Topic
129,Fill-In-The-Middle Enhancer Module,Topic
130,Path Pooling: Train-Free Structure Enhancement For Efficient Knowledge Graph Retrieval-Augmented Generation,Paper
130,Hairu Wang,Author
130,Yuan Feng,Author
130,Xike Xie,Author
130,S Kevin Zhou,Author
130,Knowledge Graph Retrieval-Augmented Generation,Topic
130,Large Language Models,Topic
130,Hallucinations,Topic
130,Knowledge Deficiencies,Topic
130,Structure Information,Topic
130,Graph Representation Learning,Topic
130,Path Pooling,Topic
130,Computational Costs,Topic
130,Performance Improvement,Topic
131,Rag-On-Graphs Library (Rgl),Topic
131,Yuan Li,Author
131,Jun Hu,Author
131,Jiaxin Jiang,Author
131,Zemin Liu,Author
131,Bryan Hooi,Author
131,Bingsheng He,Author
132,Large Language Models,Topic
132,Knowledge Graphs,Topic
132,Fidelis,Paper
132,Yuan Sui,Author
132,Yufei He,Author
132,Nian Liu,Author
132,Xiaoxin He,Author
132,Kun Wang,Author
132,Bryan Hooi,Author
133,Large Language Models (Llms),Topic
133,Knowledge Graphs (Kgs),Topic
133,Graph-Constrained Reasoning (Gcr),Topic
133,Kg-Trie,Topic
133,Linhao Luo,Author
133,Zicheng Zhao,Author
133,Chen Gong,Author
133,Gholamreza Haffari,Author
133,Shirui Pan,Author
134,Context Canvas,Paper
134,Text-To-Image Models,Topic
134,Graph-Based Rag,Topic
134,Flux,Topic
134,Stable Diffusion,Topic
134,Dall-E,Topic
134,Controlnet,Topic
135,Artrag,Topic
135,Shuai Wang,Author
135,Ivona Najdenkoska,Author
135,Hongyi Zhu,Author
135,Stevan Rudinac,Author
135,Monika Kackovic,Author
135,Nachoem Wijnberg,Author
135,Marcel Worring,Author
135,Art Context Knowledge Graph,Topic
135,Semart,Topic
135,Artpedia,Topic
136,A Comprehensive Evaluation Of Large Language Models On Temporal Event Forecasting,Paper
136,He Chang,Author
136,Chenchen Ye,Author
136,Zhulin Tao,Author
136,Jie Wu,Author
136,Zhengmao Yang,Author
136,Yunshan Ma,Author
136,Xianglin Huang,Author
136,Tat-Seng Chua,Author
136,Mideast-Te-Mini,Topic
137,Cotkr,Topic
137,Llms,Topic
137,Rag,Topic
137,Kgqa,Topic
137,Yike Wu,Author
137,Yi Huang,Author
137,Nan Hu,Author
137,Yuncheng Hua,Author
137,Guilin Qi,Author
137,Jiaoyan Chen,Author
137,Jeff Z. Pan,Author
138,Large Language Models,Topic
138,Question-Answering,Topic
138,Retrieval-Augmented Generation,Topic
138,Er-Rag,Paper
139,Retrieval Augmented Generation (Rag),Topic
139,Sim-Rag,Topic
139,Diji Yang,Author
139,Linda Zeng,Author
139,Jinmeng Rao,Author
139,Yi Zhang,Author
140,Minirag,Topic
140,Tianyu Fan,Author
140,Jingyuan Wang,Author
140,Xubin Ren,Author
140,Chao Huang,Author
140,Retrieval-Augmented Generation,Topic
140,Small Language Models,Topic
140,Benchmark Dataset,Topic
140,Https://Github.Com/Hkuds/Minirag,Topic
141,Srag,Topic
141,Teng Lin,Author
141,Yizhang Zhu,Author
141,Yuyu Luo,Author
141,Nan Tang,Author
141,Multi-Entity Question Answering,Topic
141,Large Language Models,Topic
141,Wikipedia,Topic
141,Rag,Topic
141,Long-Context Llms,Topic
141,Accuracy Improvement,Topic
142,Mcts-Rag,Topic
142,Yunhai Hu,Author
142,Yilun Zhao,Author
142,Chen Zhao,Author
142,Arman Cohan,Author
142,Complexwebqa,Topic
142,Gpqa,Topic
142,Foolmetwice,Topic
142,Gpt-4O,Topic
143,Retrieval-Augmented Generation (Rag) Systems,Topic
143,Lightrag,Paper
144,Recommender Systems,Topic
144,Large Language Models,Topic
144,Llm-Based Recommender Systems,Topic
144,Retrieval-Augmented Generation,Topic
144,K-Ragrec,Topic
144,Shijie Wang,Author
144,Wenqi Fan,Author
144,Yue Feng,Author
144,Xinyu Ma,Author
144,Shuaiqiang Wang,Author
144,Dawei Yin,Author
145,Medical Question Answering,Topic
145,Retrieval-Augmented Generation,Topic
145,Discuss-Rag,Topic
145,Xuanzhao Dong,Author
145,Wenhui Zhu,Author
145,Hao Wang,Author
145,Xiwen Chen,Author
145,Peijie Qiu,Author
145,Rui Yin,Author
145,Yi Su,Author
145,Yalin Wang,Author
145,Bioasq,Topic
145,Pubmedqa,Topic
145,Https://Github.Com/Llm-Vlm-Gsl/Discuss-Rag,Paper
146,Cg-Rag,Topic
146,Yuntong Hu,Author
146,Zhihan Lei,Author
146,Zhongjie Dai,Author
146,Allen Zhang,Author
146,Abhinav Angirekula,Author
146,Zheng Zhang,Author
146,Liang Zhao,Author
147,Exploring The Role Of Knowledge Graph-Based Rag In Japanese Medical Question Answering With Small-Scale Llms,Paper
147,Yingjian Chen,Author
147,Feiyang Li,Author
147,Xingyu Song,Author
147,Tianxiao Li,Author
147,Zixin Xu,Author
147,Xiujie Chen,Author
147,Issey Sukeda,Author
147,Irene Li,Author
147,Japanese Medical Qa,Topic
147,Retrieval-Augmented Generation,Topic
147,Knowledge Graph,Topic
147,Open-Source Llms,Topic
147,Small-Scale Llms,Topic
148,Graph-Augmented Reasoning: Evolving Step-By-Step Knowledge Graph Retrieval For Llm Reasoning,Paper
148,Kg-Rar,Topic
149,Videorag,Topic
149,Retrieval-Augmented Generation,Topic
149,Large Language Models,Topic
149,Xubin Ren,Author
149,Lingrui Xu,Author
149,Long Xia,Author
149,Shuaiqiang Wang,Author
149,Dawei Yin,Author
149,Chao Huang,Author
149,Longervideos,Topic
149,Https://Github.Com/Hkuds/Videorag,Paper
150,Vendi-Rag,Topic
150,Retrieval-Augmented Generation,Topic
150,Large Language Models,Topic
150,Domain-Specific Question-Answering,Topic
150,Vendi Score,Topic
150,Hotpotqa,Topic
150,Musique,Topic
150,2Wikimultihopqa,Topic
150,Mohammad Reza Rezaei,Author
150,Adji Bousso Dieng,Author
150,Adaptive-Rag,Topic
150,Gpt-3.5,Topic
150,Gpt-4,Topic
150,Gpt-4O-Mini,Topic
151,Auto-Rag,Topic
151,Retrieval-Augmented Generation,Topic
151,Large Language Models,Topic
151,Tian Yu,Author
151,Shaolei Zhang,Author
151,Yang Feng,Author
151,Https://Github.Com/Ictnlp/Auto-Rag,Paper
152,Large Language Models,Topic
152,Natural Language Processing,Topic
152,Telecommunications,Topic
152,Knowledge Graph,Topic
152,Retrieval-Augmented Generation,Topic
152,Kg-Rag Framework,Topic
152,Dun Yuan,Author
152,Hao Zhou,Author
152,Di Wu,Author
152,Xue Liu,Author
152,Hao Chen,Author
152,Yan Xin,Author
152,Jianzhong,Author
152,Zhang,Author
153,Integrating Large Language Models In Intelligent Tutoring Systems,Topic
153,Knowledge Graph-Enhanced Retrieval-Augmented Generation,Topic
153,Chenxi Dong,Author
153,Yimin Yuan,Author
153,Kan Chen,Author
153,Shupei Cheng,Author
153,Chujie Wen,Author
153,Transformative Opportunities For Personalized Education,Topic
153,Factual Accuracy,Topic
153,Coherent Context-Aware Instruction,Topic
153,Retrieval-Augmented Generation,Topic
153,Structured Knowledge Representation,Topic
153,Context-Aware Retrieval,Topic
153,Empirical Validation Through Controlled Experiments,Topic
153,Learning Improvements,Topic
153,Adaptable Ai Tutoring Systems,Topic
153,Assessment Scores,Topic
153,Implementation Framework,Topic
154,Graph Retrieval-Augmented Generation,Topic
154,Dynamic Graph Retrieval-Augmented Generation,Topic
154,Dynagrag,Topic
154,Karishma Thakrar,Author
155,Rag-Based Explainable Prediction Of Road Users Behaviors For Automated Driving Using Knowledge Graphs And Large Language Models,Paper
155,Mohamed Manzour Hussien,Author
155,Angie Nataly Melo,Author
155,Augusto Luis Ballardini,Author
155,Carlota Salinas Maldonado,Author
155,Rubén Izquierdo,Author
155,Miguel Ángel Sotelo,Author
155,Road Users Behavior Prediction,Topic
155,Autonomous Driving,Topic
155,Knowledge Graphs,Topic
155,Large Language Models,Topic
155,Retrieval Augmented Generation,Topic
155,Knowledge Graph Embeddings,Topic
155,Bayesian Inference,Topic
155,Pedestrians Crossing Actions Prediction,Topic
